company_name,phone,email,website,city,icp_score,intent_score,email1_subject,email1_body
Stone Arc,+61 2 4314 8605,tony@stonearc.com.au,https://www.stonearc.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Kincumber,5,5,tiles + windows — obvious combo?,"Hi {first_name},

Your customers at Stone Arc are already deep into renovation or build projects — tiles are rarely the only thing on their list.

A lot of tile stores on the Central Coast have started offering windows and doors as a natural add-on, giving clients a one-stop experience without holding extra stock themselves.

We're a manufacturer with 20 years experience and local NSW warehouse stock — no import delays, no minimum headaches.

Is that kind of add-on something Stone Arc has ever explored?

— lens"
Hamptons Design Co,+61 438 969 256,hello@hamptonsdesignco.com.au,http://www.hamptonsdesignco.com.au/,,5,5,Hamptons style + the right windows?,"Hi {first_name},

Hamptons-style homes live or die on the details — wide casements, crisp white frames, coastal proportions that actually match the aesthetic.

Most interior designers we speak to end up compromising on joinery because local suppliers don't stock the right profiles, or lead times blow out mid-project.

At lens, we manufacture windows and doors specifically suited to high-end residential design — direct from our factory, with AU stock held locally.

Are joinery lead times ever a headache for your clients' builds?

— lens"
Tahnee Symons Designs | Interior Designer | Gold Coast | Robina,+61 429 272 954,tahnee@tsdesigns.com.au,http://tsdesigns.com.au/,Robina,6,5,Gold Coast designers + windows 🪟,"Hi {first_name},

Working on high-end residential projects on the Gold Coast, the window and door spec can quietly make or break the whole aesthetic.

We're lens — a Chinese manufacturer with 20 years making doors and windows that actually get specified into luxury builds here in Australia.

We supply direct from factory, so designers can offer clients something custom without the local retailer markup.

Are any of your current projects at a stage where the window or door package is still being decided?

— lens"
The Design Hook Up,+61 401 880 116,studio@thedesignhookup.com.au,http://www.thedesignhookup.com.au/,,5,5,windows that actually ship on time 🪟,"Hi {first_name},

Design studios like yours live or die by lead times — one delayed window order and a whole project fit-out stalls.

We're lens, a manufacturer with 20 years making doors and windows, and we keep local stock in Australia specifically so interior designers aren't held hostage to 12-week import waits.

I'm curious — when you specify windows or doors for a client project, is on-time delivery ever the thing that keeps you up at night?

— lens"
Ellie Arthur Interior Design,+61 423 522 967,elliearthurdesign@gmail.com,http://www.elliearthur.com/,,5,5,windows that finish the look 🪟,"Hi {first_name},

Interior designers working on high-end residential projects often tell me the same thing — they have the vision nailed, but sourcing windows and doors that match the spec without blowing the client's budget is a constant headache.

At lens, we manufacture doors and windows directly — 20 years in — and supply to design-led projects across Australia.

Is finding the right window and door supplier something that comes up often for the projects you're styling?"
Tailored Space Interiors,+61 7 5523 9825,hire@tailoredspace.com.au,https://www.tailoredspace.com.au/,Tweed Heads South,5,5,55 five-star reviews — curious about one thing,"Hi {first_name},

Tailored Space Interiors clearly does something right — 55 reviews, all five stars in Tweed Heads South is rare.

Designers at that level usually spec premium windows and doors that match the fit-out quality. But sourcing custom joinery that's consistent across multiple projects? That's where most run into headaches.

We manufacture doors and windows direct from our factory in China — 20 years in, with stock held locally in Australia.

Quick one: are you currently specifying windows and doors for residential clients yourself, or leaving that to the builder?

— lens"
Nook & Sill Interiors,+61 424 315 811,hello@nookandsillinteriors.com,https://www.nookandsillinteriors.com/,,5,5,the 'sill' in your name caught my eye,"Hi {first_name},

Nook & Sill — love that the name nods to architecture's quieter details. The sill is often the first thing a client notices on a window, yet it's usually the last thing a designer gets real choice over.

At lens, we manufacture doors and windows directly in China — 20 years in — and supply interior designers across Australia who want more say in profile, finish, and lead time.

Are your current window and door suppliers giving you enough flexibility on specifications?

— lens"
JC Interior Ideas,+61 404 494 597,judi@jcinteriorideas.com.au,https://jcinteriorideas.com.au/,,5,5,doors & windows for your next project?,"Hi {first_name},

Came across JC Interior Ideas and love the 5-star reputation you've built — clearly your clients trust your eye for detail.

When designers spec high-end doors and windows, the finish matters as much as the lead time. Getting both right on a tight residential schedule is harder than it looks.

We supply premium aluminium and timber windows direct from our factory to interior designers and developers across Australia — 20 years manufacturing experience, local stock held in AU.

What does your current sourcing process look like for joinery and glazing?

— lens"
Bianco Studio,+61 412 462 676,bianca@bybiancostudio.com.au,https://www.biancodesignco.com/,,5,5,windows that actually arrive on time 🪟,"Hey {first_name},

Interior designers we work with often tell us the same thing — they spec beautiful windows and doors for a project, then spend weeks chasing suppliers when delivery slips and the builder starts calling.

At lens, we manufacture doors and windows directly, with local AU stock held here in Australia so lead times don't derail your project timelines.

Curious — when you're sourcing windows and doors for a project, is reliable delivery or unit pricing the bigger headache right now?

— lens"
Earthborne By Design Interior Design & Decoration Services,+61 1300 924 629,contact@earthbornebydesign.com,http://www.earthbornebydesign.com.au/,Southport,5,5,Southport studio + custom windows 🪟,"Hi {first_name},

Stumbled across Earthborne By Design — a 4.9 rating in the Gold Coast market is genuinely impressive, especially for a studio your size.

When designers spec premium windows and doors for high-end residential clients, sourcing the right product quietly becomes the hardest part of the job.

We're lens — a 20-year Chinese windows and doors manufacturer supplying directly to Australian interior and design firms.

Quick question: are you currently sourcing custom windows/doors for any residential projects, or does that typically sit with the builder?

— lens"
Gold Coast Interior Design | Carla Rausch Designs Interior design & Property Styling Gold Coast,+61 410 806 235,contact@crdinteriordesign.com.au,http://www.goldcoastinteriordesign.com/,Bundall,5,5,"windows for Gold Coast projects, Carla?","Hi {first_name},

Stumbled across Carla Rausch Designs — the property styling work on the Gold Coast looks genuinely considered.

When designers spec windows and doors for high-end residential clients, sourcing is usually the unglamorous headache nobody talks about — lead times, finishes that don't match renders, last-minute substitutions.

We supply doors and windows direct from our factory to AU designers and developers — 4-week lead times, local Queensland stock available.

Is procurement part of what you manage for clients, or does that sit with the builder?

— lens"
Rob Mills Architecture & Interiors,+61 3 9525 2406,contact@robmills.com.au,https://www.robmills.com.au/,Prahran,7,7,Toorak windows — quick thought,"Hi {first_name},

Designing high-end homes near South Yarra and Toorak means your window and door specs carry real weight — clients notice every detail.

We're lens, a Chinese manufacturer with 20 years making architectural windows and doors. We work directly with designers and architects in Melbourne who need factory-level customisation without the local distributor markup.

When you're specifying glazing or framing for a luxury residential project, what's the biggest friction point — lead times, finish options, or something else?

— lens"
Empak Homes,+61 8 8725 7066,admin@empak.com.au,http://www.empak.com.au/,Mount Gambier,7,6,windows holding up your builds?,"Hi {first_name},

Building homes in Mount Gambier means tight schedules — and window lead times from local suppliers can quietly blow out a 12-week programme by 3–4 weeks.

We're Lens, a windows and doors manufacturer supplying residential builders across South Australia directly from our factory — with stock held locally to avoid the wait.

Curious: when you're locking in a new stage of homes, how far out are you typically ordering your windows and doors?

— Lens"
Reynolds Residential PTY LTD,+61 423 677 257,mark@reynoldsresidential.com.au,http://www.reynoldsresidential.com.au/,,7,7,windows eating into your margin?,"Hi {first_name},

Building homes in Australia means every week a site sits idle costs real money — and windows are usually the bottleneck nobody plans for.

At Lens we manufacture windows and doors directly, with local stock held in Australia so your builds don't stall waiting on overseas lead times.

We work with residential builders like Reynolds Residential who need reliable supply without the importer markup.

Quick question — when you're pricing a new project, how far in advance are you currently locking in your window supply?

— Lens"
Cassari,+61 8 9203 9006,info@cassari.com.au,http://www.cassari.com.au/,Subiaco,7,7,"windows eating into your margins, {first_name}?","Hi {first_name},

Custom home builders in Subiaco are telling us the same thing — joinery and glazing specs keep climbing, but supplier pricing hasn't budged.

For a company like Cassari delivering high-spec custom builds, windows and doors aren't a small line item. They shape the whole project feel — and the budget.

We manufacture directly and hold local AU stock, so lead times and costs look pretty different from the usual channel.

What does your current windows and doors sourcing setup look like?

— Lens"
Progen Building Group,+61 8 6556 6066,builders@progengroup.com.au,https://progenbuildinggroup.com.au/?utm_source=local&utm_medium=organic&utm_campaign=gmb,North Perth,7,6,windows holding up your Perth builds?,"Hi {first_name},

Running multiple builds across Perth, window and door lead times from local suppliers can quietly become your biggest schedule risk — especially when one delayed shipment pushes your handover date by weeks.

We're Lens, a windows and doors manufacturer with 20 years of production experience. We hold stock in an Australian warehouse specifically to help building groups keep projects moving without the wait.

What does your current supply window look like for upcoming projects — are lead times causing any headaches right now?

— Lens"
Outdoor World Geraldton,+61 8 9964 4447,office@shorelineodw.com.au,https://shorelineodw.com.au/,Geraldton,7,5,garage doors + windows — natural combo?,"Hey {first_name},

Noticed {company} is doing solid work supplying garage doors across Geraldton and the broader WA region.

A lot of door suppliers we work with have quietly started adding windows and entry doors to their offer — same customer, bigger ticket, better margin.

We manufacture windows and doors direct out of our factory, with stock already sitting in Australian warehouses for fast turnaround.

Is expanding your product range something you've thought about, or is the focus staying purely on garage doors for now?

— Lens"
Four D Homes,+61 402 929 866,info@fourdhomes.com.au,http://www.fourdhomes.com.au/,East Perth,7,7,Perth custom builds & window lead times,"Hi {first_name},

Building custom homes in Perth means every trade is sequenced tightly — and windows are usually the item that quietly blows the program when a supplier stumbles.

We supply windows and doors direct from our factory to custom builders across WA, with stock held locally to protect your schedule.

Quick question: on your current projects, how far out are you locking in window orders before frame stage?

— Lens"
Oswald Homes,+61 8 9231 4800,info@oswaldhomes.com.au,http://www.oswaldhomes.com.au/,Osborne Park,7,7,windows eating into your build margin?,"Hi {first_name},

Building custom homes in Perth means every supplier decision hits the bottom line harder than in a volume build — one delayed window shipment can stall a handover by weeks.

We work with custom builders across WA supplying windows and doors direct from our factory — no local distributor markup, stock held in an Australian warehouse.

I'm curious — when you're pricing a new custom home, how much buffer are you currently building in for joinery lead times?

— Lens"
Ryde Building Company,+61 8 9841 2170,sales@rydebuilding.com.au,http://www.rydebuilding.com.au/,Albany,7,6,windows eating your build schedule?,"Hey {first_name},

Building homes in Albany means tight timelines — and windows are usually the first thing that holds up lock-up stage.

Most builders we talk to in regional WA are waiting 10–14 weeks for window deliveries, sometimes longer when imports get stuck at Fremantle.

We stock windows and doors in an Australian warehouse, so lead times run closer to 4 weeks — even for bulk orders.

What does your current supplier turnaround look like on a typical project?

— Lens"
Manteena Group,+61 2 6280 7033,canberra@manteena.com.au,https://www.manteena.com.au/,Fyshwick,7,5,Canberra builds and window lead times,"Hi {first_name},

Building in the ACT region usually means tighter council timelines and less supplier flexibility than the eastern capitals.

We work with construction companies across Australia supplying windows and doors direct from our factory — 4-week lead times, local warehouse stock, no distributor markup.

For a Fyshwick-based builder like Manteena, that kind of supply certainty could matter depending on what you're currently running.

What does your current window and door sourcing look like — local suppliers or a mix?

— Lens"
Custom Luxury Home Builders in Sydney - Probuilt Projects,+61 2 9072 9200,vadim@probuiltprojects.com.au,https://www.probuiltprojects.com.au/,Edgecliff,6,5,when your supplier misses a custom size,"Hi Probuilt Projects team,

Saw Probuilt Projects — quick thought.

If your aluminium supplier can't deliver a non-standard window size mid-build, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Hansen Yuncken,+61 8 8229 7300,melbourne@hansenyuncken.com.au,http://www.hansenyuncken.com.au/,Dulwich,7,5,quick thought on your supplier risk,"Hi Hansen Yuncken team,

Saw Hansen Yuncken — quick thought.

If your aluminium supplier ghosts mid-build, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Australian Heritage Homes,+61 418 355 073,enquiries@ahhcustomhomes.com.au,http://www.ahhcustomhomes.com.au/,Warrandyte South,7,5,quick thought on your supplier risk,"Hi Australian Heritage Homes team,

Saw Australian Heritage Homes — quick thought.

If your aluminium supplier ghosts mid-renovation, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Hansen Living,+61 3 8060 7048,admin@hansenliving.com.au,https://hansenliving.com.au/,,7,5,quick thought on your supplier risk,"Hi Hansen Living team,

Saw Hansen Living — quick thought.

If your aluminium supplier ghosts mid-build, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Lowe Design & Build,+61 3 9587 8400,info@lowedesignbuild.com.au,https://lowedesignbuild.com.au/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb,Mordialloc,7,6,quick thought on your supplier risk,"Hi Lowe Design & Build team,

Saw Lowe Design & Build — quick thought.

If your aluminium supplier ghosts mid-build, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Aviva Homes,+61 416 009 009,admin@avivahomes.com.au,https://www.avivahomes.com.au/,North Melbourne,7,5,when your supplier ghosts mid-build,"Hi Aviva Homes team,

Saw Aviva Homes — quick thought.

If your aluminium supplier ghosts mid-build, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Highgrove Bathrooms - Cairns,+61 7 4041 3880,cairns@highgrovebathrooms.com.au,https://www.highgrovebathrooms.com.au/stores/queensland/highgrove-bathrooms-cairns?utm_source=Google&utm_medium=GMB&utm_campaign=Local+SEO_QLD_Cairns,Portsmith,7,6,quick thought on your supplier risk,"Hi Highgrove Bathrooms - Cairns team,

Saw Highgrove Bathrooms - Cairns — quick thought.

If your aluminium supplier ghosts mid-renovation, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Beveridge Building Products,+61 2 4954 7977,jeremy.r@beveridgebuilding.com.au,http://www.beveridgebuilding.com.au/,Warners Bay,7,5,quick thought on your supplier risk,"Hi Beveridge Building Products team,

Saw Beveridge Building Products — quick thought.

If your aluminium supplier ghosts mid-renovation, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
SBT Building and Landscape Supplies (Shoalhaven Brick & Tile),+61 2 4423 5088,sales@shoalhavenbrickandtile.com.au,http://www.sbtshoalhaven.com.au/,South Nowra,7,5,quick thought on your supplier risk,"Hi SBT team,

Saw SBT Building and Landscape Supplies — quick thought.

If your aluminium supplier ghosts mid-renovation, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Thermawood,+61 419 840 189,jacki@thermawood.com.au,https://www.thermawood.com.au/,,7,5,quick thought on your supplier risk,"Hi Thermawood team,

Saw Thermawood — quick thought.

If your aluminium supplier ghosts mid-install, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Aluco,+61 8 8276 5555,aluco@aluco.com.au,http://www.aluco.com.au/,Edwardstown,7,6,quick thought on your supplier risk,"Hi Aluco team,

Saw Aluco — quick thought.

If your aluminium supplier ghosts mid-install, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Melbourne Security Doors and Steel Fabrications,+61 406 555 007,melbsdsf@gmail.com,https://msdsf.com.au/,Thomastown,7,5,quick thought on your supplier risk,"Hi Melbourne Security Doors and Steel Fabrications team,

Saw Melbourne Security Doors and Steel Fabrications — quick thought.

If your aluminium supplier ghosts mid-install, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Dahlsens Mildura,+61 3 5018 1100,mildura@dahlsens.com.au,https://www.dahlsens.com.au/store-locator/dahlsens-mildura/?utm_source=google&utm_medium=search&utm_campaign=GMB&utm_term=mildura,Mildura,7,7,quick thought on your supplier risk,"Hi Dahlsens Mildura team,

Saw Dahlsens — quick thought.

If your aluminium supplier ghosts mid-build, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Wood Steel & Stone,+61 3 9419 1515,tom@wsshome.co,https://www.wsshome.co/,North Melbourne,7,5,quick thought on your supplier risk,"Hi Wood Steel & Stone team,

Saw Wood Steel & Stone — quick thought.

If your aluminium supplier ghosts mid-renovation, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Classic Doors and Building Supplies,+61 3 9764 1922,classic.doors@bigpond.com,http://www.classicdoors.net.au/,Rowville,7,6,quick thought on your supplier risk,"Hi Classic Doors team,

Saw Classic Doors and Building Supplies — quick thought.

If your aluminium supplier ghosts mid-install, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Specialist Doors & Windows,+61 8 8169 6222,info@sdwetc.com.au,https://sdwetc.com.au/,Dry Creek,7,5,quick thought on your supplier risk,"Hi Specialist Doors & Windows team,

Saw Specialist Doors & Windows — quick thought.

If your aluminium supplier ghosts mid-install, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Barry Building Supplies,+61 422 179 038,info.barrybuilding@gmail.com,https://bbswindows.com.au/,Truganina,7,5,quick thought on your supplier risk,"Hi Barry,

Saw Barry Building Supplies — quick thought.

If your aluminium supplier ghosts mid-renovation, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Unique Wrought Iron Shop Melbourne,+61 3 9330 1111,sera@uniquewroughtiron.com.au,https://www.uniquewroughtiron.com.au/,Tullamarine,7,6,when your supplier can't do the size,"Hi Unique Wrought Iron Shop team,

Saw Unique Wrought Iron Shop — quick thought.

If your aluminium supplier can't hit a non-standard size mid-renovation, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Empire Windows - Residential & Commercial Supplier,+61 3 9132 5233,admin@empirewindows.com.au,http://www.empirewindows.com.au/,Bentleigh East,7,6,quick thought on your supplier risk,"Hi Empire Windows team,

Saw Empire Windows — quick thought.

If your aluminium supplier ghosts mid-build, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Zen Doors & Windows,+61 3 7068 7667,admin@zenbg.com.au,https://zendoors.com.au/,Cremorne,7,5,quick thought on your supplier risk,"Hi Zen Doors & Windows team,

Saw Zen Doors & Windows — quick thought.

If your aluminium supplier ghosts mid-build, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
My Security Door Brunswick East - Crimsafe and Steel Security Doors Melbourne,+61 1300 025 025,sales@mysecuritydoor.com.au,https://mysecuritydoor.com.au/showroom/brunswick-east/,Brunswick East,7,5,quick thought on your next product line,"Hi My Security Door team,

Saw My Security Door — quick thought.

If your aluminium supplier ghosts mid-install, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Whetstone Windows & Doors Melbourne,+61 3 9338 7066,sales@whetstonewindows.com.au,http://whetstonewindows.com.au/?utm_source=GMB&utm_medium=Organic&utm_campaign=Google%20My%20Business%20Listing&utm_term=Google%20My%20Business%20Listing,Keilor Park,7,5,quick thought on your supplier risk,"Hi Whetstone team,

Saw Whetstone Windows & Doors — quick thought.

If your aluminium supplier ghosts mid-install, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Ultimate Windows - Melbourne Showroom,+61 1300 898 782,sales@ultimatewindows.com.au,https://ultimatewindows.com.au/,Bundoora,7,6,quick thought on your supplier risk,"Hi Ultimate Windows team,

Saw Ultimate Windows — quick thought.

If your aluminium supplier ghosts mid-install, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Melb Wide Aluminium - Windows & Sliding Doors Installation,+61 3 9599 2757,Melbwide.aluminium@gmail.com,https://melbwidealuminium.com.au/,Campbellfield,7,5,quick thought on your supplier risk,"Hi Melb Wide Aluminium team,

Saw Melb Wide Aluminium — quick thought.

If your aluminium supplier ghosts mid-install, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Smart Doors And Windows,+61 481 111 126,info@smartdoorsandwindows.com.au,https://www.smartdoorsandwindows.com.au/,Albion,7,5,quick thought on your supplier risk,"Hi Smart Doors And Windows team,

Saw Smart Doors And Windows — quick thought.

If your aluminium supplier ghosts mid-install, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Melbourne Window Company,+61 3 9923 8232,info@melbournewindowco.com.au,https://www.melbournewindowco.com.au/,Oakleigh,7,5,quick thought on your supplier risk,"Hi Melbourne Window Company team,

Saw Melbourne Window Company — quick thought.

If your aluminium supplier ghosts mid-install, how many days does your client wait?

Lens is a 300,000m² aluminium factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

Lili"
Custom Home Builders,+61 2 9188 7769,info@customhomebuild.com.au,https://customhomebuild.com.au/,Paddington,7,6,when your supplier ghosts mid-build,"Hi Custom Home Builders team,

Saw Custom Home Builders — quick thought.

If your aluminium supplier ghosts mid-build, how many days does your client wait?

Lens is a 300,000m² aluminium windows and doors factory in Foshan, 20 years. Currently working with a Sydney designer on a residential project.

Worth a half-day next time you're in China? No sales, no commitment — just one more option in your back pocket.

{{accountSignature}}"
